City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,punta arenas,-53.15,-70.9167,30.81,87,50,9.4,CL,1690335410
150,tamanrasset,22.785,5.5228,78.71,12,0,3.44,DZ,1690335560
151,albany,42.6001,-73.9662,69.26,88,90,4.0,US,1690335518
152,bidar,17.9,77.55,71.33,91,100,15.46,IN,1690335561
153,talnakh,69.4865,88.3972,70.27,52,0,1.12,RU,1690335561
154,udachny,66.4167,112.4,66.45,67,100,11.92,RU,1690335561
155,lihue,21.9789,-159.3672,85.59,68,20,16.11,US,1690335561
156,gaillimh,53.2719,-9.0489,56.01,91,99,9.48,IE,1690335562
157,south vineland,39.446,-75.0288,73.67,93,0,0.0,US,1690335306
158,margaret river,-33.95,115.0667,52.63,77,100,18.9,AU,1690335562
159,at taraf,25.3628,49.725,86.54,28,63,2.95,SA,1690335562
160,chokwe,-24.5333,32.9833,59.34,74,55,4.9,MZ,1690335562
161,trinidad,-14.8333,-64.9,72.97,64,9,1.59,BO,1690335562
162,belmonte,-15.8631,-38.8828,71.98,89,56,6.93,BR,1690335563
163,jilikul,37.4917,68.5311,87.6,20,0,3.71,TJ,1690335563
164,tumaco,1.7986,-78.8156,78.19,86,100,9.17,CO,1690335563
165,tolanaro,-25.0319,46.9987,68.07,60,40,9.22,MG,1690335563
166,port alfred,-33.5906,26.891,59.16,41,0,7.56,ZA,1690335563
167,walvis bay,-22.9575,14.5053,54.09,87,0,8.05,NA,1690335564
168,colonia,50.9333,6.95,56.95,79,40,2.3,DE,1690335564
169,altai,46.3722,96.2583,63.82,25,21,1.25,MN,1690335564
170,karaton,-6.3424,106.1045,81.12,68,100,1.41,ID,1690335564
171,kencong,-8.2833,113.3667,78.58,71,85,3.53,ID,1690335564
172,yulinshi,38.2906,109.7494,81.48,46,100,14.27,CN,1690335564
173,college,64.8569,-147.8028,85.59,53,75,5.75,US,1690335565
174,kavaratti,10.5669,72.642,82.49,76,99,15.97,IN,1690335565
175,enewetak,11.3474,162.3373,83.08,80,77,15.75,MH,1690335565
176,callao,-12.0667,-77.15,68.72,83,100,11.5,PE,1690335565
177,kangding,30.0513,101.9603,60.91,93,100,1.1,CN,1690335565
178,biloela,-24.4167,150.5,71.24,38,3,16.96,AU,1690335565
179,namdrik,5.5994,168.1028,83.21,75,88,4.07,MH,1690335566
180,seabra,-12.4186,-41.7703,59.04,88,2,1.88,BR,1690335566
181,egilsstadir,65.2653,-14.3948,37.31,93,75,4.61,IS,1690335566
182,new norfolk,-42.7826,147.0587,59.92,74,100,7.23,AU,1690335567
183,aldama,22.9167,-98.0667,82.49,78,100,4.38,MX,1690335567
184,namibe,-15.1961,12.1522,59.88,90,7,9.04,AO,1690335567
185,tinajo,29.0788,-13.7081,74.28,73,100,14.97,ES,1690335568
186,marsa alam,25.0757,34.8918,90.97,40,100,4.63,EG,1690335568
187,nemuro,43.3236,145.575,65.35,95,76,5.93,JP,1690335568
188,vorgashor,67.5833,63.95,64.74,79,100,7.49,RU,1690335568
189,san luis de la loma,17.2706,-100.8939,82.24,79,96,1.34,MX,1690335568
190,tottori,35.5,134.2333,89.67,58,20,5.75,JP,1690335568
191,north bend,43.4065,-124.2243,68.92,72,0,19.57,US,1690335569
192,hilton head island,32.2163,-80.7526,84.31,84,0,4.61,US,1690335347
193,howrah,22.5892,88.3103,82.4,94,75,4.61,IN,1690335569
194,zahedan,29.4963,60.8629,75.11,38,0,4.61,IR,1690335569
195,san miguel de cauri,-10.1,-76.5833,39.33,79,3,0.54,PE,1690335570
196,zouerate,22.7187,-12.4521,88.7,21,8,15.35,MR,1690335570
197,pangai,-19.8,-174.35,75.31,69,75,6.91,TO,1690335570
198,acarau,-2.8856,-40.12,78.51,82,34,15.14,BR,1690335570
199,peterhead,57.5058,-1.7981,52.2,85,46,10.96,GB,1690335570
200,sanguem,15.2333,74.1667,76.48,97,100,7.07,IN,1690335570
201,nuuk,64.1835,-51.7216,45.21,87,6,13.8,GL,1690335571
202,wailua homesteads,22.0669,-159.378,84.99,75,20,16.11,US,1690335571
203,margate,51.3813,1.3862,57.69,73,15,1.99,GB,1690335571
204,tazovsky,67.4667,78.7,59.05,62,37,11.79,RU,1690335571
205,tofol,5.3248,163.0078,82.18,83,75,11.5,FM,1690335571
206,susuman,62.7833,148.1667,64.02,64,100,5.7,RU,1690335572
207,huayin,34.5675,110.0921,89.01,51,100,6.73,CN,1690335572
208,queenstown,-31.8976,26.8753,48.38,20,74,5.93,ZA,1690335572
209,newman,37.3138,-121.0208,98.83,33,0,3.0,US,1690335572
210,bamnet narong,15.4992,101.6897,82.29,73,51,14.29,TH,1690335572
